"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=141/36096, ttl=64 (reply in 2)"
"2","0.000018349","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=141/36096, ttl=64 (request in 1)"
"3","0.965298524","192.168.0.102","224.0.0.251","MDNS","132","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
"4","0.965870500","fe80::14d9:8cb6:f06d:7c7e","ff02::fb","MDNS","152","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
"5","1.024004353","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=142/36352, ttl=64 (reply in 6)"
"6","1.024022537","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=142/36352, ttl=64 (request in 5)"
"7","1.268903361","192.168.0.102","224.0.0.251","IGMPv2","48","Membership Report group 224.0.0.251"
"8","1.885020529","192.168.0.102","224.0.0.251","MDNS","132","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
"9","1.885052048","fe80::14d9:8cb6:f06d:7c7e","ff02::fb","MDNS","152","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
"10","2.047962880","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=143/36608, ttl=64 (reply in 11)"
"11","2.047976202","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=143/36608, ttl=64 (request in 10)"
"12","3.072013547","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=144/36864, ttl=64 (reply in 13)"
"13","3.072031771","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=144/36864, ttl=64 (request in 12)"
"14","4.095994619","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=145/37120, ttl=64 (reply in 15)"
"15","4.096012392","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=145/37120, ttl=64 (request in 14)"
"16","5.119981937","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x24d0, seq=146/37376, ttl=64 (reply in 17)"
"17","5.120000567","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x24d0, seq=146/37376, ttl=64 (request in 16)"
